Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Whole Year ,Assam,27165,1062418,1727.1,4232850.3,4618.05,38.25
Whole Year ,Karnataka,336521,32285023,1321,52436702.22,57208.57,94.28791667
Whole Year ,Kerala,2972,284970,2821.5,463097.04,505.24,50.8875
Whole Year ,Meghalaya,76,206,2995.9,11842.32,12.92,2.46
Whole Year ,Tamil Nadu,293329,29758209,928.5,45706524.78,49865.93,100.2083333
Kharif     ,Puducherry,1765,277683,1434.5875,293184.15,423.6,115.19
Whole Year ,Assam,29736,1076332,2578.5,4939446.96,7136.64,36.27592593
Whole Year ,Andhra Pradesh,191729,14942455,1297,31848104.19,46014.96,81.58380952
Whole Year ,Karnataka,436798,42276713,1317.7,72556515.78,104831.52,97.33137931
Whole Year ,Kerala,2844.91,271845,3131.8,472568.0001,682.7784,41.51714286
Whole Year ,Meghalaya,68,180,3119.7,11295.48,16.32,2.35
Kharif     ,Puducherry,1949,287785,1434.5875,326496.48,643.17,147.66
Whole Year ,Assam,28404,1052514,1743.4,4758238.08,9373.32,37.69074074
Whole Year ,Andhra Pradesh,204038,16688857,861.9,34180445.76,67332.54,86.0155
Whole Year ,Karnataka,431405,39470478,1178.986364,72268965.6,142363.65,89.37346154
Whole Year ,Kerala,2604.41,263034,3035.1,436290.7632,859.4553,38.00357143
Whole Year ,Meghalaya,74,199,4083.104545,12396.48,24.42,2.444
Whole Year ,Tamil Nadu,346350,38974842,926.5,58020552,114295.5,113.736
Whole Year ,Andhra Pradesh,196000,15448000,968.7,29556800,60760,81.79941176
Whole Year ,Assam,28871,1028161,2167.5,4353746.8,8950.01,35.72222222
Whole Year ,Karnataka,425393,35510714,956.2,64149264.4,131871.83,83.30689655
Whole Year ,Kerala,1742,165720,2187.6,262693.6,540.02,48.69090909
Whole Year ,Meghalaya,95,280,2945.3,14326,29.45,2.72
Whole Year ,Andhra Pradesh,152847,12008047,1062.3,22084863.03,41268.69,84.42615385
Whole Year ,Assam,29083,1075171,1797.7,4202202.67,7852.41,36.24925926
Whole Year ,Goa,872,47669,3642.6,125995.28,235.44,48.06
Whole Year ,Karnataka,420022,38042382,1235.6,60688978.78,113405.94,87.8824
Whole Year ,Kerala,2210.29,221520,3255.4,319364.8021,596.7783,59.56181818
Whole Year ,Meghalaya,105,315,2448.4,15171.45,28.35,2.675
Whole Year ,Tamil Nadu,313343,32454135,740.9,45274930.07,84602.61,97.58677419
Whole Year ,Andhra Pradesh,139226,10002941,687.6,21017556.96,45944.58,81.93615385
Whole Year ,Assam,29900,1099134,1899,4513704,9867,36.59814815
Whole Year ,Goa,808,49215,3491.2,121975.68,266.64,54.35
Whole Year ,Karnataka,480222,43838057,1238.5,72494313.12,158473.26,92.69038462
Whole Year ,Kerala,1517.06,148530,3046.4,229015.3776,500.6298,45.05384615
Whole Year ,Meghalaya,111,338,3484.4,16756.56,36.63,2.70125
Whole Year ,Tamil Nadu,263066,28092784,911.3,39712443.36,86811.78,99.26033333
Whole Year ,Andhra Pradesh,121685,9353418,940.7,19215278.35,40156.05,85.06461538
Kharif     ,Puducherry,1821,213968,1980.6,287554.11,600.93,117.5
Whole Year ,Assam,29460,1038329,2155.3,4652028.6,9721.8,35.5662963
Whole Year ,Meghalaya,117,356,3870.8,18475.47,38.61,2.7475
Whole Year ,Goa,1139,58077,2587.1,179859.49,375.87,53.265
Whole Year ,Karnataka,449586,36314129,1024.9,70994125.26,148363.38,85.546
Whole Year ,Kerala,1361.588,138125,2602.9,215008.3611,449.32404,42.25571429
Whole Year ,Tamil Nadu,252272,25508824,1201.9,39836271.52,83249.76,98
Whole Year ,Andhra Pradesh,102732,7830250,890,15743679,35956.2,86.50846154
Kharif     ,Puducherry,1677,209625,1391.3,257000.25,586.95,125
Whole Year ,Assam,31383,1207167,2296.8,4809444.75,10984.05,37.7337037
Whole Year ,Meghalaya,121,361,3837.1,18543.25,42.35,2.67
Whole Year ,Goa,897,40222,3266.9,137465.25,313.95,41.525
Whole Year ,Karnataka,397098,27378389,1147.2,60855268.5,138984.3,75.5836
Whole Year ,Kerala,1062.502,113130,2924.3,162828.4315,371.8757,72.10375
Whole Year ,Tamil Nadu,218262,18987555,912.4,33448651.5,76391.7,78.37766667
Whole Year ,Andhra Pradesh,98912,7782670,868.2,15572705.28,37586.56,92.49384615
Kharif     ,Puducherry,1445,180625,1582.4,227500.8,549.1,125
Whole Year ,Assam,30559,1142974,2098.563636,4811208.96,11612.42,36.48703704
Whole Year ,Meghalaya,121,361,4472.3,19050.24,45.98,2.67
Whole Year ,Goa,910,47160,2772.5,143270.4,345.8,45.41
Whole Year ,Karnataka,400000,37460951,1111.7,62976000,152000,91.89956522
Whole Year ,Kerala,1047.674,115110,2664.8,164945.7946,398.11612,68.18888889
Whole Year ,Tamil Nadu,171856,17155603,970.9,27057008.64,65305.28,94.5
Kharif     ,Andhra Pradesh,101525,8056925,1220.5,16467355,35533.75,84.04769231
Kharif     ,Puducherry,1444,187720,1693.9,234216.8,505.4,130
Whole Year ,Assam,31199,1093930,2372.9,5060477.8,10919.65,33.76481481
Whole Year ,Meghalaya,125,374,5649.1,20275,43.75,2.67125
Whole Year ,Goa,888,35296,4406,144033.6,310.8,34.38
Whole Year ,Karnataka,495932,42323211,1419.1,80440170.4,173576.2,83.26862069
Whole Year ,Kerala,1011.88,106299,2989.7,164126.936,354.158,81.14875
Whole Year ,Tamil Nadu,166415,17096330,986.2,26992513,58245.25,99.34166667
Kharif     ,Andhra Pradesh,85911,6714729,899.2,14756073.36,31787.07,83.44538462
Kharif     ,Puducherry,1308,183120,1317,224662.08,483.96,140
Whole Year ,Assam,29703,1218118,2084.7,5101787.28,10990.11,38.92111111
Whole Year ,Meghalaya,128,384,3844.4,21985.28,47.36,2.675
Whole Year ,Goa,811,53708,4489.5,139297.36,300.07,70.115
Whole Year ,Karnataka,428540,36034028,1422.3,73606030.4,158559.8,81.45551724
Whole Year ,Kerala,950.04,120835,3119.2,163178.8704,351.5148,83.834
Whole Year ,Tamil Nadu,131207,14119210,910.1,22536114.32,48546.59,102.7843333
Winter     ,Odisha,18682,1144012,1496.6,1777965.94,5791.42,55.64206897
Kharif     ,Andhra Pradesh,192500,13953300,927.5,18320225,59675,77.1065
Whole Year ,Bihar,107424,4939899,1303.7,10223542.08,33301.44,50.18152174
Whole Year ,Gujarat,165000,11832000,798.9,15703050,51150,72.99533333
Kharif     ,Maharashtra,183300,158866,1156.1,17444661,56823,0.863333333
Whole Year ,Mizoram,1252,7488,2644.2,119152.84,388.12,5.8
Whole Year ,Punjab,126000,7150000,690.1,11991420,39060,58.046875
Kharif     ,Uttar Pradesh,6719,379133,473.9,639447.23,2082.89,56.43
Whole Year ,Uttar Pradesh,1985223,121066703,473.9,188933672.9,615419.13,53.15815789
Whole Year ,Andhra Pradesh,213700,16501700,1048.3,21113560,61973,81.223
Whole Year ,Bihar,106935,5101066,1332.5,10565178,31011.15,39.29543478
Whole Year ,Gujarat,196300,13565000,775.6,19394440,56927,70.090625
Whole Year ,Haryana,128074,7010000,687.6,12653711.2,37141.46,51.58421053
Whole Year ,Madhya Pradesh,72440,1609360,962.7,7157072,21007.6,17.87372881
Kharif     ,Maharashtra,529800,47151100,1314.8,52344240,153642,84.55434783
Whole Year ,Punjab,103000,6130000,588.6,10176400,29870,60.698
Whole Year ,Tamil Nadu,347910,46672800,1077.1,34373508,100893.9,136.0751852
Whole Year ,Tripura,1080,51300,2472.9,106704,313.2,48.21
Whole Year ,Uttar Pradesh,1974642,116483396,743.4,195094629.6,572646.18,51.80960526
Whole Year ,Bihar,97198,4088505,1402.7,10315623.74,26243.46,36.62083333
Whole Year ,Gujarat,201400,14065000,458.9,21374582,54378,73.26
Whole Year ,Haryana,136696,7640000,344,14507546.48,36907.92,44.50210526
Whole Year ,Himachal Pradesh,3005,15470,1144.9,318920.65,811.35,5.206666667
Whole Year ,Karnataka,371332,37397876,1203.8,39409465.16,100259.64,102.486
Whole Year ,Madhya Pradesh,44930,1951640,1222.9,4768420.9,12131.1,32.28931034
Whole Year ,Maharashtra,590100,53140400,1166.5,62627313,159327,86.55576923
Whole Year ,Nagaland,600,30000,1782.2,63678,162,50
Winter     ,Odisha,30970,1826930,1484.3,3286846.1,8361.9,60.69166667
Whole Year ,Punjab,108000,6770000,364.4,11462040,29160,62.67266667
Whole Year ,Tamil Nadu,332332,35501817,922.8,35270395.16,89729.64,107.9448148
Whole Year ,Uttar Pradesh,2011024,115418883,883.4,213429977.1,542976.48,52.28773333
Whole Year ,Bihar,93529,3985577,1207,9181741.93,24317.54,37.13647059
Whole Year ,Chhattisgarh,3317,8628,896.4,325629.89,862.42,2.739333333
Whole Year ,Gujarat,177700,12689000,379.7,17444809,46202,67.18071429
Whole Year ,Haryana,143030,8170000,383.7,14041255.1,37187.8,49.43
Whole Year ,Himachal Pradesh,2817,7854,1068.4,276544.89,732.42,2.665714286
Whole Year ,Madhya Pradesh,74733,1656840,723.3,7336538.61,19430.58,17.88844444
Whole Year ,Maharashtra,595300,49568700,1057.8,58440601,154778,77.65407407
Whole Year ,Mizoram,952,6361,2834.3,93457.84,247.52,8.705
Whole Year ,Nagaland,700,35000,1631.8,68719,182,39.93666667
Whole Year ,Odisha,16775,963917,1066,1646801.75,4361.5,51.06793103
Whole Year ,Punjab,121000,7770000,405.3,11878570,31460,65.445625
Whole Year ,Tamil Nadu,317473,34062855,971.1,31166324.41,82542.98,108.0914815
Whole Year ,Uttar Pradesh,1938366,106067503,874.4,190289390.2,503975.16,50.03478261
Whole Year ,Uttarakhand,116478,6831440,1413.4,11434645.26,30284.28,58.175
Whole Year ,Bihar,120754,5818262,1247,12332606.02,31396.04,44.32352941
Whole Year ,Chhattisgarh,3476,9046,1550,355003.88,903.76,2.805714286
Whole Year ,Gujarat,175800,12458000,666.5,17954454,45708,62.97384615
Whole Year ,Haryana,161184,9270000,483.8,16461721.92,41907.84,47.62210526
Whole Year ,Himachal Pradesh,2635,11219,918.1,269112.55,685.1,4.411428571
Whole Year ,Madhya Pradesh,41427,1612840,955,4230939.51,10771.02,30.92022222
Whole Year ,Maharashtra,578200,45139800,1035.8,59051566,150332,69.57740741
Whole Year ,Mizoram,1379,9359,2406.4,140837.27,358.54,8.115
Whole Year ,Nagaland,1000,48000,1532,102130,260,43.005
Whole Year ,Odisha,10988,644007,1672.5,1122204.44,2856.88,52.85172414
